2026-04-26 11:32:24,317 | INFO | __main__ | class miETL ---Inicio leeAPI---
2026-04-26 11:32:25,281 | INFO | httpx | HTTP Request: GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/SF43718,SP68257,SF331451,SF43773/datos/2025-01-01/2026-04-26 "HTTP/1.1 200 OK"
2026-04-26 11:32:25,286 | INFO | __main__ | class miETL ---Fin leeAPI OK---
2026-04-26 11:32:25,286 | INFO | __main__ | class miETL ... Inicio haceParquetDesdeJson
2026-04-26 11:32:25,300 | INFO | __main__ | class miETL ... Fin haceParquetDesdeJson generado en S3/parquets/raw_orginal_api_banxico_20260426_113224.parquet
2026-04-26 11:32:25,301 | INFO | __main__ | class miETL ... cargaRawStageDB
2026-04-26 11:32:25,302 | INFO | __main__ | class miETL ... se insertan 1465 registros en Db raw
2026-04-26 11:32:25,329 | INFO | __main__ | class miETL ... se realiza transformacion y reglas de negocio
2026-04-26 11:32:25,341 | INFO | __main__ | class miETL ... Inicio cargaHistDB
2026-04-26 11:32:25,357 | INFO | __main__ | class miETL ... FIN cargaHistDB
2026-04-26 11:33:05,036 | INFO | __main__ | class miETL ---Inicio leeAPI---
2026-04-26 11:33:05,825 | INFO | httpx | HTTP Request: GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/SF43718,SP68257,SF331451,SF43773/datos/2025-01-01/2026-04-26 "HTTP/1.1 200 OK"
2026-04-26 11:33:05,830 | INFO | __main__ | class miETL ---Fin leeAPI OK---
2026-04-26 11:33:05,831 | INFO | __main__ | class miETL ... Inicio haceParquetDesdeJson
2026-04-26 11:33:05,836 | INFO | __main__ | class miETL ... Fin haceParquetDesdeJson generado en S3/parquets/raw_orginal_api_banxico_20260426_113305.parquet
2026-04-26 11:33:05,836 | INFO | __main__ | class miETL ... cargaRawStageDB
2026-04-26 11:33:05,837 | INFO | __main__ | class miETL ... se insertan 1465 registros en Db raw
2026-04-26 11:33:05,851 | INFO | __main__ | class miETL ... se realiza transformacion y reglas de negocio
2026-04-26 11:33:05,854 | INFO | __main__ | class miETL ... Inicio cargaHistDB
2026-04-26 11:33:05,863 | INFO | __main__ | class miETL ... FIN cargaHistDB
2026-04-26 11:36:57,913 | INFO | __main__ | class miETL ---Inicio leeAPI---
2026-04-26 11:36:58,905 | INFO | httpx | HTTP Request: GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/SF43718,SP68257,SF331451,SF43773/datos/2025-01-01/2025-01-01 "HTTP/1.1 200 OK"
2026-04-26 11:36:58,907 | WARNING | __main__ | class miETL ...leeAPI, Serie SF331451 no trae clave 'datos'
2026-04-26 11:36:58,907 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43718 no trae clave 'datos'
2026-04-26 11:36:58,908 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43773 no trae clave 'datos'
2026-04-26 11:36:58,908 | INFO | __main__ | class miETL ---Fin leeAPI OK---
2026-04-26 11:36:58,908 | INFO | __main__ | class miETL ... Inicio haceParquetDesdeJson
2026-04-26 11:36:58,912 | INFO | __main__ | class miETL ... Fin haceParquetDesdeJson generado en S3/parquets/raw_orginal_api_banxico_20260426_113657.parquet
2026-04-26 11:36:58,912 | INFO | __main__ | class miETL ... cargaRawStageDB
2026-04-26 11:36:58,912 | WARNING | __main__ | class miETL ... Serie SF331451 no trae 'datos'
2026-04-26 11:36:58,913 | WARNING | __main__ | class miETL ... Serie SF43718 no trae 'datos'
2026-04-26 11:36:58,913 | WARNING | __main__ | class miETL ... Serie SF43773 no trae 'datos'
2026-04-26 11:36:58,914 | INFO | __main__ | class miETL ... se insertan 1 registros en Db raw
2026-04-26 11:36:58,929 | INFO | __main__ | class miETL ... se realiza transformacion y reglas de negocio
2026-04-26 11:36:58,931 | INFO | __main__ | class miETL ... Inicio cargaHistDB
2026-04-26 11:36:58,938 | INFO | __main__ | class miETL ... FIN cargaHistDB
2026-04-26 12:20:10,062 | INFO | __main__ | class miETL ---Inicio leeAPI---
2026-04-26 12:20:10,839 | INFO | httpx | HTTP Request: GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/SF43718,SP68257,SF331451,SF43773/datos/2025-01-01/2025-01-01 "HTTP/1.1 200 OK"
2026-04-26 12:20:10,842 | WARNING | __main__ | class miETL ...leeAPI, Serie SF331451 no trae clave 'datos'
2026-04-26 12:20:10,842 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43718 no trae clave 'datos'
2026-04-26 12:20:10,842 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43773 no trae clave 'datos'
2026-04-26 12:20:10,842 | INFO | __main__ | class miETL ---Fin leeAPI OK---
2026-04-26 12:20:10,842 | INFO | __main__ | class miETL ... Inicio haceParquetDesdeJson
2026-04-26 12:20:10,846 | INFO | __main__ | class miETL ... Fin haceParquetDesdeJson generado en S3/parquets/raw_orginal_api_banxico_20260426_122010.parquet
2026-04-26 12:20:10,847 | INFO | __main__ | class miETL ... cargaRawStageDB
2026-04-26 12:20:10,847 | WARNING | __main__ | class miETL ... Serie SF331451 no trae 'datos'
2026-04-26 12:20:10,847 | WARNING | __main__ | class miETL ... Serie SF43718 no trae 'datos'
2026-04-26 12:20:10,847 | WARNING | __main__ | class miETL ... Serie SF43773 no trae 'datos'
2026-04-26 12:20:10,847 | INFO | __main__ | class miETL ... se insertan 1 registros en Db raw
2026-04-26 12:20:10,857 | INFO | __main__ | class miETL ... se realiza transformacion y reglas de negocio
2026-04-26 12:20:10,859 | INFO | __main__ | class miETL ... Inicio cargaHistDB
2026-04-26 12:20:10,863 | INFO | __main__ | class miETL ... FIN cargaHistDB
2026-04-26 14:12:56,689 | INFO | __main__ | class miETL ---Inicio leeAPI---
2026-04-26 14:12:57,707 | INFO | httpx | HTTP Request: GET https://www.banxico.org.mx/SieAPIRest/service/v1/series/SF43718,SP68257,SF331451,SF43773/datos/2027-01-01/2026-01-01 "HTTP/1.1 200 OK"
2026-04-26 14:12:57,710 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43773 no trae clave 'datos'
2026-04-26 14:12:57,710 | WARNING | __main__ | class miETL ...leeAPI, Serie SF43718 no trae clave 'datos'
2026-04-26 14:12:57,710 | WARNING | __main__ | class miETL ...leeAPI, Serie SF331451 no trae clave 'datos'
2026-04-26 14:12:57,710 | WARNING | __main__ | class miETL ...leeAPI, Serie SP68257 no trae clave 'datos'
2026-04-26 14:12:57,710 | INFO | __main__ | class miETL ---Fin leeAPI OK---
